Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005224556.1,maltose transporter permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92321.1 maltose transporter permease [Klebsiella pneumoniae],Not Mutated found,0,296
YP_005228985.1,galactitol-specific PTS system component IIA [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96629.1 PTS galactitol transporter subunit IIA [Klebsiella pneumoniae],Not Mutated found,0,155
YP_005228722.1,D-erythrose 4-phosphate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96380.1 D-erythrose 4-phosphate dehydrogenase [Klebsiella pneumoniae],Not Mutated found,0,342
YP_005226392.1,DeoR/GlpR transcriptional regulator,GCA_002156725.1 ARS94020.1 DeoR family transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,252
YP_005228741.1,agmatinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96400.1 agmatinase [Klebsiella pneumoniae],Not Mutated found,0,306
YP_005226364.1,putative reverse transcriptase/maturase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_010450855.1 QIA13647.1 group II intron reverse transcriptase/maturase [Klebsiella pneumoniae],Not Mutated found,0,495
YP_005228358.1,outer membrane protein assembly factor BamE,GCA_002156725.1 ARS95963.1 outer membrane protein assembly factor BamE [Klebsiella pneumoniae],Not Mutated found,0,113
YP_005228042.1,NADH dehydrogenase subunit E [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95669.1 NADH-quinone oxidoreductase subunit E [Klebsiella pneumoniae],Not Mutated found,0,166
YP_005228852.1,biopolymer transport protein ExbD [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96503.1 biopolymer transport protein ExbD [Klebsiella pneumoniae],Not Mutated found,0,141
YP_005229102.1,DNA-binding protein Fis [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96742.1 Fis family transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,98
YP_005228511.1,tRNA pseudouridine synthase C [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96177.1 tRNA pseudouridine(65) synthase TruC [Klebsiella pneumoniae],Not Mutated found,0,264
YP_005226203.1,hypothetical protein KPHS_19030 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93857.1 hypothetical protein B9G35_10575 [Klebsiella pneumoniae],Not Mutated found,0,75
YP_005227659.1,IclR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95232.1 IclR family transcriptional regulator [Klebsiella pneumoniae],Not Mutated found,0,263
YP_005226488.1,hypothetical protein KPHS_21880 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24301.1 hypothetical protein AM386_21985 [Klebsiella pneumoniae],Not Mutated found,0,39
YP_005224879.1,lipoprotein Blc [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92622.1 hypothetical protein B9G35_03790 [Klebsiella pneumoniae],Not Mutated found,0,177
