Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005225779.1,sugar ABC transporter periplasmic sugar-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93457.1 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,1,326,Transporters
YP_005227367.1,putative ABC transporter periplasmic binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94976.1 iron ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,9,362,Transporters
YP_005224799.1,trehalose(maltose)-specific PTS system components IIBC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92545.1 PTS trehalose transporter subunit IIBC [Klebsiella pneumoniae],Mutated,4,472,Transporters
YP_005226308.1,spermidine/putrescine ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93944.1 spermidine/putrescine ABC transporter permease PotB [Klebsiella pneumoniae],Mutated,3,285,Transporters
YP_005227158.1,putative ABC transport system substrate-binding component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97240.1 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,5,234,Transporters
YP_005227505.1,DMT family transporter,GCA_002156725.1 ARS95096.1 EamA family transporter [Klebsiella pneumoniae],Mutated,13,298,Transporters
YP_005227003.1,putative transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94648.1 MFS transporter [Klebsiella pneumoniae],Mutated,7,410,Transporters
YP_005227716.1,L-arabinose transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95283.1 L-arabinose ABC transporter ATP-binding protein AraG [Klebsiella pneumoniae],Mutated,11,504,Transporters
YP_005226886.1,D- and L-methionine ABC transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94544.1 ABC transporter [Klebsiella pneumoniae],Mutated,7,263,Transporters
YP_005228638.1,HAAAP family transporter [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96298.1 transporter [Klebsiella pneumoniae],Mutated,40,371,Transporters
YP_005226223.1,FTR1 family protein,GCA_002156725.1 ARS93874.1 iron permease [Klebsiella pneumoniae],Mutated,8,276,Transporters
