Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005220965.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17841.1 hypothetical protein C5707_028550 (plasmid) [Klebsiella pneumoniae],Mutated,4,76
YP_005221061.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02729.1 hypothetical protein B8O09_28075 [Klebsiella pneumoniae],Mutated,14,124
YP_005229714.1,conjugal transfer protein TraV (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03226.1 type IV conjugative transfer system protein TraV (plasmid) [Klebsiella pneumoniae],Mutated,20,194
YP_005221079.1,beta-lactamase CTX-M-14 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003367555.1 AXL00064.1 class A extended-spectrum beta-lactamase CTX-M-65 (plasmid) [Klebsiella pneumoniae],Mutated,3,291
YP_005220959.1,peptidase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17835.1 S49 family peptidase (plasmid) [Klebsiella pneumoniae],Mutated,11,319
YP_005229772.1,Protein impA (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03270.1 peptidase (plasmid) [Klebsiella pneumoniae],Mutated,11,143
YP_005220932.1,putative dihydrofolate reductase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26261.1 dihydrofolate reductase (plasmid) [Klebsiella pneumoniae],Mutated,30,156
YP_005221046.1,thymidylate kinase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02641.1 thymidylate kinase [Klebsiella pneumoniae],Mutated,1,224
YP_005220905.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26281.1 hypothetical protein AM386_31680 (plasmid) [Klebsiella pneumoniae],Mutated,6,160
YP_005221069.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17804.1 hypothetical protein C5707_028355 (plasmid) [Klebsiella pneumoniae],Mutated,14,93
YP_005220926.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26267.1 hypothetical protein AM386_31580 (plasmid) [Klebsiella pneumoniae],Mutated,8,77
YP_005221077.1,transposase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART01212.1 IS1380 family transposase [Klebsiella pneumoniae],Mutated,23,420
YP_005229697.1,conjugal pilus assembly protein TraF (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97423.1 type-F conjugative transfer system pilin assembly protein TraF (plasmid) [Klebsiella pneumoniae],Mutated,30,250
YP_005221049.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02644.1 hypothetical protein B8O09_27630 [Klebsiella pneumoniae],Mutated,127,49
YP_005220850.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26324.1 hypothetical protein AM386_31940 (plasmid) [Klebsiella pneumoniae],Mutated,31,262
YP_005220909.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26364.1 hypothetical protein AM386_31660 (plasmid) [Klebsiella pneumoniae],Mutated,15,99
YP_005220915.1,type I restriction enzyme (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26275.1 type I restriction enzyme (plasmid) [Klebsiella pneumoniae],Mutated,109,518
YP_005229730.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97454.1 hypothetical protein B9G35_28915 (plasmid) [Klebsiella pneumoniae],Mutated,7,74
YP_005220825.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26376.1 hypothetical protein AM386_32115 (plasmid) [Klebsiella pneumoniae],Mutated,1,70
YP_005229618.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_015992305.1 QPP72926.1 hypothetical protein I5M58_27500 (plasmid) [Klebsiella pneumoniae],Mutated,5,37
YP_005220820.1,DNA polymerase III (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26353.1 DNA polymerase III subunit alpha (plasmid) [Klebsiella pneumoniae],Mutated,1039,164
YP_005221023.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002812665.1 AUA54436.1 IS6-like element IS26 family transposase (plasmid) [Klebsiella pneumoniae],Mutated,6,234
YP_005229679.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97631.1 transposase (plasmid) [Klebsiella pneumoniae],Mutated,130,109
YP_005229654.1,transcriptional repressor protein KorC (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_003367555.1 AXK99984.1 transcriptional repressor protein KorC (plasmid) [Klebsiella pneumoniae],Mutated,7,98
YP_005220826.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26349.1 transcriptional regulator (plasmid) [Klebsiella pneumoniae],Mutated,1,126
YP_005220882.1,"hypothetical protein, partial (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002202195.1 ASC26300.1 hypothetical protein AM386_31795 (plasmid) [Klebsiella pneumoniae],Mutated,102,49
YP_005229741.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002903005.1 AUV35744.1 Hok/Gef family protein (plasmid) [Klebsiella pneumoniae],Mutated,17,52
YP_005220933.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26360.1 hypothetical protein AM386_31545 (plasmid) [Klebsiella pneumoniae],Mutated,11,131
YP_005220908.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26279.1 hypothetical protein AM386_31665 (plasmid) [Klebsiella pneumoniae],Mutated,9,139
YP_005229766.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03267.1 hypothetical protein B8O09_29730 (plasmid) [Klebsiella pneumoniae],Mutated,13,76
YP_005220925.1,putative ribonuclease H (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26361.1 ribonuclease HI (plasmid) [Klebsiella pneumoniae],Mutated,28,222
YP_005220862.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26316.1 hypothetical protein AM386_31880 (plasmid) [Klebsiella pneumoniae],Mutated,10,83
YP_005220892.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26291.1 hypothetical protein AM386_31745 (plasmid) [Klebsiella pneumoniae],Mutated,7,296
YP_005229702.1,cconjugal transfer pilus assembly protein TrbC (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97427.1 type-F conjugative transfer system pilin assembly protein TrbC (plasmid) [Klebsiella pneumoniae],Mutated,12,212
YP_005220927.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26266.1 phage N-6-adenine-methyltransferase (plasmid) [Klebsiella pneumoniae],Mutated,1,197
YP_005229699.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03309.1 hypothetical protein B8O09_30010 (plasmid) [Klebsiella pneumoniae],Mutated,2,82
YP_005224874.1,plasmid partition ParA protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92617.1 DUF1365 domain-containing protein [Klebsiella pneumoniae],Mutated,12,240
YP_005220964.1,formate-dependent nitrite reductase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17840.1 nitrite reductase (plasmid) [Klebsiella pneumoniae],Mutated,3,172
YP_005221048.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02643.1 hypothetical protein B8O09_27625 [Klebsiella pneumoniae],Mutated,9,103
YP_005220847.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26372.1 hypothetical protein AM386_31955 (plasmid) [Klebsiella pneumoniae],Mutated,20,54
YP_005229637.1,transposase InsD1 for insertion sequence IS4321R (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART00293.1 IS110 family transposase [Klebsiella pneumoniae],Mutated,74,334
YP_005221008.1,transposase (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_022699325.1 UNS83465.1 IS91 family transposase [Klebsiella pneumoniae],Mutated,283,281
YP_005229663.1,transposase IS26 (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26164.1 IS6 family transposase (plasmid) [Klebsiella pneumoniae],Mutated,186,64
YP_005220855.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26371.1 hypothetical protein AM386_31915 (plasmid) [Klebsiella pneumoniae],Mutated,84,53
