Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005225241.1,prolyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92954.1 proline--tRNA ligase [Klebsiella pneumoniae],Mutated,2,572,ligase
YP_005227472.1,threonyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95067.1 threonine--tRNA ligase [Klebsiella pneumoniae],Mutated,1,642,ligase
YP_005225871.1,succinyl-CoA synthetase subunit beta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93545.1 succinyl-CoA ligase subunit beta [Klebsiella pneumoniae],Mutated,1,388,ligase
YP_005225834.1,glutaminyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93511.1 glutamine--tRNA ligase [Klebsiella pneumoniae],Mutated,6,555,ligase
YP_005227709.1,arginyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95276.1 arginine--tRNA ligase [Klebsiella pneumoniae],Mutated,6,577,ligase
YP_005229207.1,tryptophanyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96844.1 tryptophan--tRNA ligase [Klebsiella pneumoniae],Mutated,4,334,ligase
YP_005226060.1,ribosomal protein S6 modification protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93724.1 30S ribosomal protein S6--L-glutamate ligase [Klebsiella pneumoniae],Mutated,1,300,ligase
YP_005227923.1,methionyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97282.1 methionine--tRNA ligase [Klebsiella pneumoniae],Mutated,49,637,ligase
YP_005225531.1,cysteinyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93222.1 cysteine--tRNA ligase [Klebsiella pneumoniae],Mutated,6,461,ligase
YP_005227770.1,yersiniabactin siderophore biosynthetic protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],"GCA_002156725.1 ARS95367.1 2,3-dihydroxybenzoate-AMP ligase [Klebsiella pneumoniae]",Mutated,19,525,ligase
YP_005225112.1,UDP-N-acetylmuramate--L-alanine ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92844.1 UDP-N-acetylmuramate--L-alanine ligase [Klebsiella pneumoniae],Mutated,8,486,ligase
YP_005225108.1,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92841.1 UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Klebsiella pneumoniae],Mutated,7,438,ligase
YP_005228711.1,putative ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96371.1 5-formyltetrahydrofolate cyclo-ligase [Klebsiella pneumoniae],Mutated,2,198,ligase
YP_005224701.1,lysyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92452.1 elongation factor P--(R)-beta-lysine ligase [Klebsiella pneumoniae],Mutated,3,325,ligase
YP_005228025.1,O-succinylbenzoic acid--CoA ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95652.1 2-succinylbenzoate-CoA ligase [Klebsiella pneumoniae],Mutated,21,458,ligase
YP_005225105.1,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS92838.1 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Klebsiella pneumoniae]",Mutated,4,495,ligase
YP_005224896.1,putative tryptophanyl-tRNA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92639.1 tryptophan--tRNA ligase [Klebsiella pneumoniae],Mutated,19,335,ligase
YP_005226679.1,phenylacetate-CoA ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94354.1 phenylacetate-CoA ligase [Klebsiella pneumoniae],Mutated,5,438,ligase
YP_005227635.1,long-chain-fatty-acid--CoA ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97261.1 long-chain-fatty-acid--CoA ligase [Klebsiella pneumoniae],Mutated,25,579,ligase
YP_005227469.1,phenylalanyl-tRNA synthetase subunit alpha [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95063.1 phenylalanine--tRNA ligase subunit alpha [Klebsiella pneumoniae],Mutated,1,327,ligase
YP_005227818.1,hypothetical protein KPHS_35180 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95460.1 lipoate-protein ligase A [Klebsiella pneumoniae],Mutated,23,246,ligase
