Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005226305.1,aldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93941.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,19,574,dehydrogenase
YP_005226189.1,putative tartrate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93843.1 tartrate dehydrogenase [Klebsiella pneumoniae],Mutated,248,155,dehydrogenase
YP_005226218.1,proline dehydrogenase/delta-1-pyrroline-5-carboxylate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93870.1 trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,400,986,dehydrogenase
YP_005225297.1,"acetoin:2,6-dichlorophenolindophenol oxidoreductase, beta subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS93009.1 alpha-ketoacid dehydrogenase subunit beta [Klebsiella pneumoniae],Mutated,4,339,dehydrogenase
YP_005224727.1,isovaleryl CoA dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92477.1 isovaleryl-CoA dehydrogenase [Klebsiella pneumoniae],Mutated,13,545,dehydrogenase
YP_005226697.1,succinylglutamic semialdehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94370.1 N-succinylglutamate 5-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,18,488,dehydrogenase
YP_005228013.1,sn-glycerol-3-phosphate dehydrogenase large subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95642.1 sn-glycerol-3-phosphate dehydrogenase subunit A [Klebsiella pneumoniae],Mutated,11,540,dehydrogenase
YP_005228362.1,lactaldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96036.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,296,240,dehydrogenase
YP_005227100.1,"putative oxidoreductase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94734.1 short-chain dehydrogenase [Klebsiella pneumoniae],Mutated,169,176,dehydrogenase
YP_005226705.1,"aldA, aldehyde dehydrogenase A, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94376.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,159,343,dehydrogenase
YP_005226704.1,"NAD-linked aldehyde dehydrogenase A, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94376.1 aldehyde dehydrogenase [Klebsiella pneumoniae],Mutated,361,139,dehydrogenase
YP_005225282.1,succinate-semialdehyde dehydrogenase I [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92995.1 NAD-dependent succinate-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,13,482,dehydrogenase
YP_005226192.1,gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93846.1 aldehyde dehydrogenase PuuC [Klebsiella pneumoniae],Mutated,21,495,dehydrogenase
YP_005226457.1,putative tartrate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94075.1 tartrate dehydrogenase [Klebsiella pneumoniae],Mutated,2,362,dehydrogenase
