Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005226308.1,spermidine/putrescine ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93944.1 spermidine/putrescine ABC transporter permease PotB [Klebsiella pneumoniae],Mutated,3,285,permease
YP_005226090.1,ABC-type macrolide transport system efflux carrier [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93751.1 macrolide ABC transporter permease/ATP-binding protein MacB [Klebsiella pneumoniae],Mutated,10,646,permease
YP_005226223.1,FTR1 family protein,GCA_002156725.1 ARS93874.1 iron permease [Klebsiella pneumoniae],Mutated,8,276,permease
YP_005226064.1,putrescine ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93727.1 putrescine ABC transporter permease [Klebsiella pneumoniae],Mutated,3,317,permease
YP_005227737.1,amino acid ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95304.1 amino acid ABC transporter permease [Klebsiella pneumoniae],Mutated,2,222,permease
YP_005227916.1,putative xanthine/uracil/vitamin C permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95551.1 NCS2 family permease [Klebsiella pneumoniae],Mutated,19,447,permease
YP_005227343.1,acridine efflux pump [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94952.1 multidrug efflux RND transporter permease subunit [Klebsiella pneumoniae],Mutated,23,1038,permease
YP_005227054.1,ABC transporter ATP-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94696.1 ABC transporter permease [Klebsiella pneumoniae],Mutated,25,246,permease
YP_005226121.1,lipid transporter ATP-binding protein/permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93781.1 lipid ABC transporter permease/ATP-binding protein [Klebsiella pneumoniae],Mutated,2,582,permease
YP_005225345.1,putative amino acid/amine transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93051.1 ethanolamine permease [Klebsiella pneumoniae],Mutated,10,459,permease
YP_005229271.1,leucine/isoleucine/valine transporter permease subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96909.1 branched-chain amino acid ABC transporter permease [Klebsiella pneumoniae],Mutated,6,425,permease
YP_005225340.1,high-affinity branched-chain amino acid ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93047.1 branched-chain amino acid ABC transporter permease [Klebsiella pneumoniae],Mutated,2,299,permease
YP_005224552.1,L-asparagine permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92317.1 L-asparagine permease [Klebsiella pneumoniae],Mutated,51,55,permease
YP_005228139.1,sulfate/thiosulfate transporter permease subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95754.1 sulfate ABC transporter permease subunit CysW [Klebsiella pneumoniae],Mutated,4,291,permease
YP_005227040.1,sulfite exporter TauE/SafE family protein,GCA_002156725.1 ARS94683.1 anion permease [Klebsiella pneumoniae],Mutated,25,263,permease
YP_005227928.1,putative ABC-type proline/glycine betaine transport system inner membrane component [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95559.1 osmoprotectant uptake system permease [Klebsiella pneumoniae],Mutated,5,245,permease
YP_005227490.1,oligopeptide transporter permease [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95083.1 oligopeptide transporter permease [Klebsiella pneumoniae],Mutated,2,306,permease
