Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length
YP_005227356.1,cytochrome c biogenesis [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94966.1 cytochrome c-type biogenesis protein CcmE [Klebsiella pneumoniae],Mutated,6,152
YP_005227372.1,putative metal-dependent amidase/aminoacylase/carboxypeptidase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94980.1 peptidase M20 [Klebsiella pneumoniae],Mutated,58,343
YP_005226326.1,DUF1272 domain-containing protein,GCA_002156725.1 ARS93960.1 hypothetical protein B9G35_11160 [Klebsiella pneumoniae],Mutated,35,40
YP_005227904.1,SorC family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95542.1 cytochrome C biogenesis protein CcdA [Klebsiella pneumoniae],Mutated,10,313
YP_005228648.1,DUF1471 domain-containing protein,GCA_002156725.1 ARS96311.1 hypothetical protein B9G35_23870 [Klebsiella pneumoniae],Mutated,1,69
YP_005226596.1,hypothetical protein KPHS_22960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24257.1 hypothetical protein AM386_21745 [Klebsiella pneumoniae],Mutated,5,40
YP_005225779.1,sugar ABC transporter periplasmic sugar-binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93457.1 ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,1,326
YP_005228287.1,23S rRNA pseudouridine synthase D [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95942.1 23S rRNA pseudouridine(1911/1915/1917) synthase [Klebsiella pneumoniae],Mutated,34,300
YP_005227367.1,putative ABC transporter periplasmic binding protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94976.1 iron ABC transporter substrate-binding protein [Klebsiella pneumoniae],Mutated,9,362
YP_005225527.1,phosphoribosylaminoimidazole carboxylase catalytic subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93217.1 5-(carboxyamino)imidazole ribonucleotide mutase [Klebsiella pneumoniae],Mutated,4,169
YP_005227146.1,IclR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94775.1 IclR family transcriptional regulator [Klebsiella pneumoniae],Mutated,44,296
YP_005228823.1,nucleotidyl transferase AbiEii/AbiGii toxin family protein,GCA_002156725.1 ARS96477.1 hypothetical protein B9G35_24755 [Klebsiella pneumoniae],Mutated,59,233
YP_005224934.1,"4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase C-terminal subunit, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS92677.1 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Klebsiella pneumoniae]",Mutated,8,254
YP_005226961.1,GrpB family protein,GCA_002156725.1 ARS94609.1 hypothetical protein B9G35_14645 [Klebsiella pneumoniae],Mutated,13,172
YP_005226092.1,ATP-dependent Clp protease adaptor protein ClpS [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93754.1 ATP-dependent Clp protease adaptor ClpS [Klebsiella pneumoniae],Mutated,2,105
YP_005227843.1,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95485.1 bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase [Klebsiella pneumoniae],Mutated,12,199
YP_005227074.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94715.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,11,310
YP_005224799.1,trehalose(maltose)-specific PTS system components IIBC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92545.1 PTS trehalose transporter subunit IIBC [Klebsiella pneumoniae],Mutated,4,472
YP_005228371.1,hypothetical protein KPHS_40710 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96044.1 hypothetical protein B9G35_22460 [Klebsiella pneumoniae],Mutated,5,61
YP_005225661.1,putative lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93351.1 hypothetical protein B9G35_07775 [Klebsiella pneumoniae],Mutated,53,138
YP_005225035.1,ribonucleoside hydrolase RihC [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92767.1 non-specific ribonucleoside hydrolase RihC [Klebsiella pneumoniae],Mutated,5,304
YP_005227063.1,proline dipeptidase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94705.1 peptidase [Klebsiella pneumoniae],Mutated,13,339
YP_005226308.1,spermidine/putrescine ABC transporter membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93944.1 spermidine/putrescine ABC transporter permease PotB [Klebsiella pneumoniae],Mutated,3,285
