Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005225933.1,sensor protein for basR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93600.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,37,342,kinase
YP_005227060.1,HAMP domain-containing protein,GCA_002156725.1 ARS94702.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,26,447,kinase
YP_005228971.1,glycerate kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96617.1 glycerate 2-kinase [Klebsiella pneumoniae],Mutated,12,381,kinase
YP_005225502.1,adenylate kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93196.1 adenylate kinase [Klebsiella pneumoniae],Mutated,2,214,kinase
YP_005229226.1,osmolarity sensor protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96863.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,7,451,kinase
YP_005225066.1,two-component sensor kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92799.1 histidine kinase [Klebsiella pneumoniae],Mutated,5,541,kinase
YP_005228108.1,putative sensor protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95728.1 sensor histidine kinase [Klebsiella pneumoniae],Mutated,10,559,kinase
YP_005227893.1,lipid kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97278.1 lipid kinase YegS [Klebsiella pneumoniae],Mutated,5,298,kinase
YP_005226275.1,thymidylate kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93919.1 thymidylate kinase [Klebsiella pneumoniae],Mutated,1,213,kinase
YP_005224632.1,putative histidine protein kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92391.1 hybrid sensor histidine kinase/response regulator [Klebsiella pneumoniae],Mutated,21,761,kinase
YP_005226458.1,putative hydroxypyruvate reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94076.1 glycerate kinase [Klebsiella pneumoniae],Mutated,8,419,kinase
YP_005225791.1,nucleoside diphosphate kinase regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93469.1 nucleoside diphosphate kinase regulator [Klebsiella pneumoniae],Mutated,2,136,kinase
YP_005227477.1,protein kinase-like protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95072.1 fructosamine kinase family protein [Klebsiella pneumoniae],Mutated,2,290,kinase
