Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005220965.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17841.1 hypothetical protein C5707_028550 (plasmid) [Klebsiella pneumoniae],Mutated,4,76,Hypothetical Proteins
YP_005221061.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02729.1 hypothetical protein B8O09_28075 [Klebsiella pneumoniae],Mutated,14,124,Hypothetical Proteins
YP_005220905.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26281.1 hypothetical protein AM386_31680 (plasmid) [Klebsiella pneumoniae],Mutated,6,160,Hypothetical Proteins
YP_005221069.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17804.1 hypothetical protein C5707_028355 (plasmid) [Klebsiella pneumoniae],Mutated,14,93,Hypothetical Proteins
YP_005220926.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26267.1 hypothetical protein AM386_31580 (plasmid) [Klebsiella pneumoniae],Mutated,8,77,Hypothetical Proteins
YP_005221049.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02644.1 hypothetical protein B8O09_27630 [Klebsiella pneumoniae],Mutated,127,49,Hypothetical Proteins
YP_005220850.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26324.1 hypothetical protein AM386_31940 (plasmid) [Klebsiella pneumoniae],Mutated,31,262,Hypothetical Proteins
YP_005220909.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26364.1 hypothetical protein AM386_31660 (plasmid) [Klebsiella pneumoniae],Mutated,15,99,Hypothetical Proteins
YP_005229730.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97454.1 hypothetical protein B9G35_28915 (plasmid) [Klebsiella pneumoniae],Mutated,7,74,Hypothetical Proteins
YP_005220825.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26376.1 hypothetical protein AM386_32115 (plasmid) [Klebsiella pneumoniae],Mutated,1,70,Hypothetical Proteins
YP_005229618.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_015992305.1 QPP72926.1 hypothetical protein I5M58_27500 (plasmid) [Klebsiella pneumoniae],Mutated,5,37,Hypothetical Proteins
YP_005220882.1,"hypothetical protein, partial (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002202195.1 ASC26300.1 hypothetical protein AM386_31795 (plasmid) [Klebsiella pneumoniae],Mutated,102,49,Hypothetical Proteins
YP_005220933.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26360.1 hypothetical protein AM386_31545 (plasmid) [Klebsiella pneumoniae],Mutated,11,131,Hypothetical Proteins
YP_005220908.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26279.1 hypothetical protein AM386_31665 (plasmid) [Klebsiella pneumoniae],Mutated,9,139,Hypothetical Proteins
YP_005229766.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03267.1 hypothetical protein B8O09_29730 (plasmid) [Klebsiella pneumoniae],Mutated,13,76,Hypothetical Proteins
YP_005220862.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26316.1 hypothetical protein AM386_31880 (plasmid) [Klebsiella pneumoniae],Mutated,10,83,Hypothetical Proteins
YP_005220892.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26291.1 hypothetical protein AM386_31745 (plasmid) [Klebsiella pneumoniae],Mutated,7,296,Hypothetical Proteins
YP_005229699.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART03309.1 hypothetical protein B8O09_30010 (plasmid) [Klebsiella pneumoniae],Mutated,2,82,Hypothetical Proteins
YP_005221048.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART02643.1 hypothetical protein B8O09_27625 [Klebsiella pneumoniae],Mutated,9,103,Hypothetical Proteins
YP_005220847.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26372.1 hypothetical protein AM386_31955 (plasmid) [Klebsiella pneumoniae],Mutated,20,54,Hypothetical Proteins
YP_005220855.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26371.1 hypothetical protein AM386_31915 (plasmid) [Klebsiella pneumoniae],Mutated,84,53,Hypothetical Proteins
YP_005229742.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97462.1 hypothetical protein B9G35_28970 (plasmid) [Klebsiella pneumoniae],Mutated,15,124,Hypothetical Proteins
YP_005220868.1,putative phage tail protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26312.1 hypothetical protein AM386_31860 (plasmid) [Klebsiella pneumoniae],Mutated,2996,1874,Hypothetical Proteins
YP_005229726.1,hypothetical protein (plasmid) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE17986.1 hypothetical protein C5707_029525 (plasmid) [Klebsiella pneumoniae],Mutated,3,113,Hypothetical Proteins
