Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005225353.1,acyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93058.1 GNAT family N-acetyltransferase [Klebsiella pneumoniae],Mutated,18,572,acetyltransferase
YP_005229325.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96958.1 GNAT family N-acetyltransferase [Klebsiella pneumoniae],Mutated,7,177,acetyltransferase
YP_005227334.1,"beta-ketothiolase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94942.1 acetyl-CoA acetyltransferase [Klebsiella pneumoniae],Mutated,269,133,acetyltransferase
YP_005228279.1,putative NAD(P)-binding and ATP-binding acyl-CoA synthetase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95936.1 protein acetyltransferase [Klebsiella pneumoniae],Mutated,18,883,acetyltransferase
YP_005229505.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91964.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,6,138,acetyltransferase
YP_005229421.1,2-amino-3-ketobutyrate coenzyme A ligase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97049.1 glycine C-acetyltransferase [Klebsiella pneumoniae],Mutated,1,397,acetyltransferase
YP_005224549.1,GNAT family N-acetyltransferase,GCA_002156725.1 ARS92315.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,3,169,acetyltransferase
YP_005227588.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95170.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,7,158,acetyltransferase
YP_005224889.1,putative GCN5-related N-acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92632.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,3,177,acetyltransferase
YP_005224527.1,putative acyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92294.1 acetyltransferase [Klebsiella pneumoniae],Mutated,6,153,acetyltransferase
YP_005227187.1,putative acetyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94811.1 N-acetyltransferase [Klebsiella pneumoniae],Mutated,2,172,acetyltransferase
