Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005229399.1,putative glutathione S-transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97027.1 glutathione S-transferase [Klebsiella pneumoniae],Mutated,7,202,transferase
YP_005225724.1,putative S-transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93406.1 glutathione S-transferase [Klebsiella pneumoniae],Mutated,17,201,transferase
YP_005225935.1,putative cell division protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93602.1 phosphoethanolamine transferase EptA [Klebsiella pneumoniae],Mutated,14,546,transferase
YP_005224784.1,DgaE family pyridoxal phosphate-dependent ammonia lyase,GCA_002156725.1 ARS92533.1 L-seryl-tRNA selenium transferase [Klebsiella pneumoniae],Mutated,13,372,transferase
YP_005226004.1,putative glutathione S-transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93667.1 glutathione S-transferase [Klebsiella pneumoniae],Mutated,5,208,transferase
YP_005229301.1,undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96936.1 undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [Klebsiella pneumoniae],Mutated,3,327,transferase
YP_005227332.1,putative acetyl-CoA:acetoacetyl-CoA transferase beta subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94941.1 succinyl-CoA--3-ketoacid-CoA transferase [Klebsiella pneumoniae],Mutated,7,218,transferase
YP_005226746.1,acetyl-CoA:acetoacetyl-CoA transferase alpha subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94416.1 3-oxoadipate CoA-transferase [Klebsiella pneumoniae],Mutated,6,228,transferase
YP_005226362.1,putative glycosyl transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93991.1 glycosyl transferase [Klebsiella pneumoniae],Mutated,10,378,transferase
YP_005229432.1,glucuronic acid transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97056.1 glycosyl transferase family 1 [Klebsiella pneumoniae],Mutated,15,375,transferase
