Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005226645.1,putative oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94322.1 oxidoreductase [Klebsiella pneumoniae],Mutated,29,372,oxidoreductase
YP_005226894.1,putative oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94552.1 oxidoreductase [Klebsiella pneumoniae],Mutated,28,324,oxidoreductase
YP_005228846.1,putative S-transferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96497.1 thiol:disulfide oxidoreductase [Klebsiella pneumoniae],Mutated,4,288,oxidoreductase
YP_005226763.1,malate:quinone oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94433.1 malate:quinone oxidoreductase [Klebsiella pneumoniae],Mutated,26,536,oxidoreductase
YP_005227006.1,"putative NADH:flavin oxidoreductase/NADH oxidase, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94650.1 oxidoreductase [Klebsiella pneumoniae],Mutated,146,232,oxidoreductase
YP_005228043.1,bifunctional NADH:ubiquinone oxidoreductase subunit C/D [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95670.1 NADH-quinone oxidoreductase subunit C/D [Klebsiella pneumoniae],Mutated,146,602,oxidoreductase
YP_005228639.1,putative aldo/keto reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96299.1 oxidoreductase [Klebsiella pneumoniae],Mutated,8,292,oxidoreductase
YP_005225615.1,putative oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93312.1 oxidoreductase [Klebsiella pneumoniae],Mutated,22,343,oxidoreductase
YP_005225421.1,oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93121.1 oxidoreductase [Klebsiella pneumoniae],Mutated,9,392,oxidoreductase
YP_005228733.1,putative ferredoxin reductase subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96391.1 pyridine nucleotide-disulfide oxidoreductase [Klebsiella pneumoniae],Mutated,6,398,oxidoreductase
