Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005228553.1,cobalt-factor II C(20)-methyltransferase,GCA_002156725.1 ARS96217.1 precorrin-2 C(20)-methyltransferase [Klebsiella pneumoniae],Mutated,10,236,methyltransferase
YP_005225537.1,phage N-6-adenine-methyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156745.1 ART01775.1 phage N-6-adenine-methyltransferase [Klebsiella pneumoniae],Mutated,22,175,methyltransferase
YP_005224407.1,tRNA (uracil-5-)-methyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92172.1 tRNA (uridine(54)-C5)-methyltransferase TrmA [Klebsiella pneumoniae],Mutated,5,366,methyltransferase
YP_005228219.1,bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN,GCA_002156725.1 ARS95880.1 bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN [Klebsiella pneumoniae],Mutated,2,388,methyltransferase
YP_005228748.1,16S rRNA (uracil(1498)-N(3))-methyltransferase,GCA_002156725.1 ARS96407.1 16S rRNA (uracil(1498)-N(3))-methyltransferase [Klebsiella pneumoniae],Mutated,6,243,methyltransferase
YP_005224446.1,uroporphyrinogen III methylase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92213.1 uroporphyrinogen-III C-methyltransferase [Klebsiella pneumoniae],Mutated,4,393,methyltransferase
YP_005224726.1,23S rRNA (guanosine-2'-O-)-methyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92476.1 23S rRNA (guanosine(2251)-2'-O)-methyltransferase [Klebsiella pneumoniae],Mutated,5,240,methyltransferase
YP_005225968.1,RlmF-related methyltransferase,GCA_002156725.1 ARS93632.1 ribosomal RNA large subunit methyltransferase F [Klebsiella pneumoniae],Mutated,246,69,methyltransferase
YP_005225255.1,putative methyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92967.1 SAM-dependent methyltransferase [Klebsiella pneumoniae],Mutated,20,222,methyltransferase
YP_005225807.1,SPOUT methyltransferase superfamily protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93485.1 23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH [Klebsiella pneumoniae],Mutated,3,155,methyltransferase
