Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005228287.1,23S rRNA pseudouridine synthase D [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95942.1 23S rRNA pseudouridine(1911/1915/1917) synthase [Klebsiella pneumoniae],Mutated,34,300,synthase
YP_005225053.1,carbamoyl phosphate synthase large subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92784.1 carbamoyl phosphate synthase large subunit [Klebsiella pneumoniae],Mutated,32,1074,synthase
YP_005225412.1,1-deoxy-D-xylulose-5-phosphate synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93112.1 1-deoxy-D-xylulose-5-phosphate synthase [Klebsiella pneumoniae],Mutated,9,620,synthase
YP_005228082.1,3-oxoacyl-ACP synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95707.1 beta-ketoacyl-[acyl-carrier-protein] synthase I [Klebsiella pneumoniae],Mutated,1,406,synthase
YP_005225098.1,acetolactate synthase 3 catalytic subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92830.1 acetolactate synthase 3 large subunit [Klebsiella pneumoniae],Mutated,12,566,synthase
YP_005225312.1,"cobyrinic acid a,c-diamide synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS93022.1 cobyrinic acid a,c-diamide synthase [Klebsiella pneumoniae]",Mutated,13,316,synthase
YP_005229350.1,putative cellulose synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96980.1 cellulose synthase catalytic subunit (UDP-forming) [Klebsiella pneumoniae],Mutated,4,703,synthase
YP_005225835.1,B12-dependent methionine synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93512.1 methionine synthase [Klebsiella pneumoniae],Mutated,7,102,synthase
YP_005227767.1,High-molecular-weight nonribosomal peptide/polyketide synthetase 1 (HMWP1) [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95364.1 polyketide synthase [Klebsiella pneumoniae],Mutated,108,3163,synthase
YP_005229036.1,octaprenyl-diphosphate synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96676.1 octaprenyl diphosphate synthase [Klebsiella pneumoniae],Mutated,2,323,synthase
YP_005226318.1,tRNA (5-methyl aminomethyl-2-thiouridylate)-methyltransferase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97199.1 tRNA 2-thiouridine(34) synthase MnmA [Klebsiella pneumoniae],Mutated,24,368,synthase
YP_005225828.1,asparagine synthetase B [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93504.1 asparagine synthase B [Klebsiella pneumoniae],Mutated,1,554,synthase
YP_005228883.1,glycogen synthesis protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96534.1 glycogen synthase [Klebsiella pneumoniae],Mutated,1,65,synthase
YP_005225746.1,isochorismate synthase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93427.1 isochorismate synthase [Klebsiella pneumoniae],Mutated,12,391,synthase
