Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Enzyme_Type
YP_005226381.1,methionine sulfoxide reductase B [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94010.1 peptide-methionine (R)-S-oxide reductase [Klebsiella pneumoniae],Mutated,1,137,reductase
YP_005225785.1,DUF3440 domain-containing protein,GCA_002156725.1 ARS93463.1 phosphoadenosine phosphosulfate reductase [Klebsiella pneumoniae],Mutated,8,407,reductase
YP_005229204.1,nitrite reductase large subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96841.1 nitrite reductase large subunit [Klebsiella pneumoniae],Mutated,7,847,reductase
YP_005228530.1,"L-1,2-propanediol oxidoreductase [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS96196.1 lactaldehyde reductase [Klebsiella pneumoniae],Mutated,10,382,reductase
YP_005225248.1,"2,5-diketo-D-gluconate reductase B [Klebsiella pneumoniae subsp. pneumoniae HS11286]","GCA_002156725.1 ARS92961.1 2,5-diketo-D-gluconate reductase B [Klebsiella pneumoniae]",Mutated,11,267,reductase
YP_005228493.1,sulfite reductase subunit beta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96162.1 sulfite reductase subunit beta [Klebsiella pneumoniae],Mutated,5,570,reductase
YP_005227153.1,cryptic nitrate reductase 2 subunit delta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94781.1 nitrate reductase molybdenum cofactor assembly chaperone [Klebsiella pneumoniae],Mutated,6,231,reductase
YP_005226184.1,putative diogenase subunit beta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93839.1 ferredoxin--NADP(+) reductase [Klebsiella pneumoniae],Mutated,22,321,reductase
YP_005227154.1,"respiratory nitrate reductase 2, gamma subunit [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS94782.1 respiratory nitrate reductase subunit gamma [Klebsiella pneumoniae],Mutated,11,226,reductase
YP_005226107.1,anaerobic dimethyl sulfoxide reductase subunit C [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93768.1 dimethyl sulfoxide reductase [Klebsiella pneumoniae],Mutated,25,287,reductase
YP_005226098.1,thioredoxin reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93760.1 thioredoxin-disulfide reductase [Klebsiella pneumoniae],Mutated,10,322,reductase
YP_005227151.1,cryptic nitrate reductase 2 subunit beta [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94780.1 nitrate reductase subunit beta [Klebsiella pneumoniae],Mutated,356,175,reductase
YP_005226935.1,3-oxoacyl-(acyl-carrier-protein) reductase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94587.1 3-oxoacyl-ACP reductase [Klebsiella pneumoniae],Mutated,7,244,reductase
YP_005228379.1,ribonucleotide-diphosphate reductase subunit alpha [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96052.1 ribonucleoside-diphosphate reductase subunit alpha [Klebsiella pneumoniae],Mutated,10,713,reductase
