MSA File,Status,Number of Mutations,Total_hits
MSA_YP_005227356.1.faa,Mutations found,6,99
MSA_YP_005227372.1.faa,Mutations found,58,85
MSA_YP_005226326.1.faa,Mutations found,35,97
MSA_YP_005227904.1.faa,Mutations found,10,100
MSA_YP_005228648.1.faa,Mutations found,1,98
MSA_YP_005226596.1.faa,Mutations found,5,6
MSA_YP_005224556.1.faa,No mutations found,0,100
MSA_YP_005225779.1.faa,Mutations found,1,98
MSA_YP_005228287.1.faa,Mutations found,34,100
MSA_YP_005227367.1.faa,Mutations found,9,96
MSA_YP_005225527.1.faa,Mutations found,4,100
MSA_YP_005227146.1.faa,Mutations found,44,100
MSA_YP_005228823.1.faa,Mutations found,59,65
MSA_YP_005228985.1.faa,No mutations found,0,75
MSA_YP_005224934.1.faa,Mutations found,8,100
MSA_YP_005228722.1.faa,No mutations found,0,100
MSA_YP_005226961.1.faa,Mutations found,13,97
MSA_YP_005226092.1.faa,Mutations found,2,100
MSA_YP_005227843.1.faa,Mutations found,12,100
MSA_YP_005227074.1.faa,Mutations found,11,85
MSA_YP_005224799.1.faa,Mutations found,4,100
MSA_YP_005228371.1.faa,Mutations found,5,23
MSA_YP_005225661.1.faa,Mutations found,53,99
MSA_YP_005225035.1.faa,Mutations found,5,100
MSA_YP_005227063.1.faa,Mutations found,13,98
MSA_YP_005226308.1.faa,Mutations found,3,100
MSA_YP_005226560.1.faa,Mutations found,65,30
MSA_YP_005224926.1.faa,Mutations found,8,100
MSA_YP_005227158.1.faa,Mutations found,5,100
MSA_YP_005229392.1.faa,Mutations found,9,97
MSA_YP_005227505.1.faa,Mutations found,13,100
MSA_YP_005227003.1.faa,Mutations found,7,99
MSA_YP_005225933.1.faa,Mutations found,37,100
MSA_YP_005225053.1.faa,Mutations found,32,100
MSA_YP_005228434.1.faa,Mutations found,2,100
MSA_YP_005224807.1.faa,Mutations found,2,77
MSA_YP_005227716.1.faa,Mutations found,11,99
MSA_YP_005226830.1.faa,Mutations found,29,12
MSA_YP_005226392.1.faa,No mutations found,0,61
MSA_YP_005226886.1.faa,Mutations found,7,98
MSA_YP_005228741.1.faa,No mutations found,0,100
MSA_YP_005228638.1.faa,Mutations found,40,99
MSA_YP_005227328.1.faa,Mutations found,47,96
MSA_YP_005229185.1.faa,Mutations found,1,100
MSA_YP_005226364.1.faa,No mutations found,0,500
MSA_YP_005228893.1.faa,Mutations found,4,81
