Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005226326.1,DUF1272 domain-containing protein,GCA_002156725.1 ARS93960.1 hypothetical protein B9G35_11160 [Klebsiella pneumoniae],Mutated,35,40,Hypothetical Proteins
YP_005228648.1,DUF1471 domain-containing protein,GCA_002156725.1 ARS96311.1 hypothetical protein B9G35_23870 [Klebsiella pneumoniae],Mutated,1,69,Hypothetical Proteins
YP_005226596.1,hypothetical protein KPHS_22960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24257.1 hypothetical protein AM386_21745 [Klebsiella pneumoniae],Mutated,5,40,Hypothetical Proteins
YP_005228823.1,nucleotidyl transferase AbiEii/AbiGii toxin family protein,GCA_002156725.1 ARS96477.1 hypothetical protein B9G35_24755 [Klebsiella pneumoniae],Mutated,59,233,Hypothetical Proteins
YP_005226961.1,GrpB family protein,GCA_002156725.1 ARS94609.1 hypothetical protein B9G35_14645 [Klebsiella pneumoniae],Mutated,13,172,Hypothetical Proteins
YP_005228371.1,hypothetical protein KPHS_40710 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96044.1 hypothetical protein B9G35_22460 [Klebsiella pneumoniae],Mutated,5,61,Hypothetical Proteins
YP_005225661.1,putative lipoprotein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93351.1 hypothetical protein B9G35_07775 [Klebsiella pneumoniae],Mutated,53,138,Hypothetical Proteins
YP_005226560.1,IS66 family insertion sequence hypothetical protein,GCA_002752775.1 ATQ92486.1 IS66 family insertion sequence hypothetical protein [Klebsiella pneumoniae],Mutated,65,134,Hypothetical Proteins
YP_005226830.1,hypothetical protein KPHS_25300 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC24024.1 hypothetical protein AM386_20485 [Klebsiella pneumoniae],Mutated,29,39,Hypothetical Proteins
YP_005227328.1,DUF535 family protein,GCA_002156725.1 ARS94937.1 hypothetical protein B9G35_16395 [Klebsiella pneumoniae],Mutated,47,263,Hypothetical Proteins
YP_005229185.1,putative cytoplasmic protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96824.1 hypothetical protein B9G35_26625 [Klebsiella pneumoniae],Mutated,1,66,Hypothetical Proteins
YP_005228893.1,hypothetical protein KPHS_45930 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21349.1 hypothetical protein AM386_05740 [Klebsiella pneumoniae],Mutated,4,39,Hypothetical Proteins
YP_005229454.1,hypothetical protein KPHS_51540 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC21894.1 hypothetical protein AM386_08685 [Klebsiella pneumoniae],Mutated,3,37,Hypothetical Proteins
YP_005227457.1,YdiU family protein,GCA_002156725.1 ARS95052.1 hypothetical protein B9G35_17020 [Klebsiella pneumoniae],Mutated,18,480,Hypothetical Proteins
YP_005226474.1,hypothetical protein KPHS_21740 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94093.1 hypothetical protein B9G35_11855 [Klebsiella pneumoniae],Mutated,13,71,Hypothetical Proteins
YP_005226156.1,putative Fe-S protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93808.1 hypothetical protein B9G35_10320 [Klebsiella pneumoniae],Mutated,86,369,Hypothetical Proteins
YP_005226296.1,hypothetical protein KPHS_19960 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26075.1 hypothetical protein AM386_23725 [Klebsiella pneumoniae],Mutated,18,43,Hypothetical Proteins
YP_005226471.1,hypothetical protein KPHS_21710 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94089.1 hypothetical protein B9G35_11835 [Klebsiella pneumoniae],Mutated,8,66,Hypothetical Proteins
YP_005226797.1,YnfA family protein,GCA_002156725.1 ARS94464.1 hypothetical protein B9G35_13860 [Klebsiella pneumoniae],Mutated,14,120,Hypothetical Proteins
YP_005225342.1,hypothetical protein KPHS_10420 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC23073.1 hypothetical protein AM386_15195 [Klebsiella pneumoniae],Mutated,2,47,Hypothetical Proteins
YP_005227051.1,hypothetical protein KPHS_27510 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002967795.2 QKE12813.1 hypothetical protein C5707_002395 [Klebsiella pneumoniae],Mutated,1,42,Hypothetical Proteins
YP_005227502.1,SEC-C domain-containing protein,GCA_002156725.1 ARS95093.1 hypothetical protein B9G35_17235 [Klebsiella pneumoniae],Mutated,52,110,Hypothetical Proteins
YP_005229383.1,putative outer membrane protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97336.1 hypothetical protein B9G35_27630 [Klebsiella pneumoniae],Mutated,11,99,Hypothetical Proteins
YP_005226216.1,DUF1311 domain-containing protein,GCA_002156725.1 ARS93869.1 hypothetical protein B9G35_10635 [Klebsiella pneumoniae],Mutated,2,131,Hypothetical Proteins
YP_005228315.1,hypothetical protein KPHS_40150 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_022699325.1 UNS82188.1 hypothetical protein MOQ79_08110 [Klebsiella pneumoniae],Mutated,10,265,Hypothetical Proteins
YP_005227752.1,hypothetical protein KPHS_34520 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002202195.1 ASC26137.1 hypothetical protein AM386_29085 [Klebsiella pneumoniae],Mutated,2,88,Hypothetical Proteins
YP_005224645.1,"putative alkylphosphonate uptake protein in phosphonate metabolism, partial [Klebsiella pneumoniae subsp. pneumoniae HS11286]",GCA_002156725.1 ARS92403.1 hypothetical protein B9G35_02590 [Klebsiella pneumoniae],Mutated,43,77,Hypothetical Proteins
YP_005226662.1,YdbL family protein,GCA_002156725.1 ARS94338.1 hypothetical protein B9G35_13195 [Klebsiella pneumoniae],Mutated,4,107,Hypothetical Proteins
YP_005225851.1,DUF2517 family protein,GCA_002156725.1 ARS97173.1 hypothetical protein B9G35_08755 [Klebsiella pneumoniae],Mutated,1,69,Hypothetical Proteins
YP_005229000.1,GIY-YIG nuclease family protein,GCA_002156725.1 ARS97320.1 hypothetical protein B9G35_25640 [Klebsiella pneumoniae],Mutated,15,96,Hypothetical Proteins
YP_005228818.1,type IV B pilus protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96473.1 hypothetical protein B9G35_24735 [Klebsiella pneumoniae],Mutated,1,189,Hypothetical Proteins
YP_005227775.1,hypothetical protein KPHS_34750 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95374.1 hypothetical protein B9G35_18815 [Klebsiella pneumoniae],Mutated,2,77,Hypothetical Proteins
YP_005228215.1,YfgM family protein,GCA_002156725.1 ARS95876.1 hypothetical protein B9G35_21535 [Klebsiella pneumoniae],Mutated,25,206,Hypothetical Proteins
YP_005226452.1,hypothetical protein KPHS_21520 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94070.1 hypothetical protein B9G35_11740 [Klebsiella pneumoniae],Mutated,61,66,Hypothetical Proteins
YP_005225606.1,DUF1471 domain-containing protein,GCA_002156725.1 ARS93303.1 hypothetical protein B9G35_07510 [Klebsiella pneumoniae],Mutated,1,90,Hypothetical Proteins
YP_005228877.1,DUF1190 family protein,GCA_002156725.1 ARS96528.1 hypothetical protein B9G35_25030 [Klebsiella pneumoniae],Mutated,4,223,Hypothetical Proteins
YP_005224621.1,sel1 repeat family protein,GCA_002156725.1 ARS92382.1 hypothetical protein B9G35_02480 [Klebsiella pneumoniae],Mutated,1,228,Hypothetical Proteins
YP_005227724.1,RpiB/LacA/LacB family sugar-phosphate isomerase,GCA_002156725.1 ARS95291.1 hypothetical protein B9G35_18330 [Klebsiella pneumoniae],Mutated,11,212,Hypothetical Proteins
