Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005226090.1,ABC-type macrolide transport system efflux carrier [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93751.1 macrolide ABC transporter permease/ATP-binding protein MacB [Klebsiella pneumoniae],Mutated,10,646,Efflux Pumps
YP_005226348.1,leucine export protein LeuE [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93979.1 leucine efflux protein [Klebsiella pneumoniae],Mutated,3,212,Efflux Pumps
YP_005225823.1,CNNM family magnesium/cobalt transport protein CorC,GCA_002156725.1 ARS97172.1 magnesium/cobalt efflux protein [Klebsiella pneumoniae],Mutated,24,315,Efflux Pumps
YP_005227279.1,putative MFS-family transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94895.1 Bcr/CflA family multidrug efflux MFS transporter [Klebsiella pneumoniae],Mutated,23,393,Efflux Pumps
YP_005227343.1,acridine efflux pump [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94952.1 multidrug efflux RND transporter permease subunit [Klebsiella pneumoniae],Mutated,23,1038,Efflux Pumps
YP_005224695.1,quarternary ammonium compound transport protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92446.1 QacE family quaternary ammonium compound efflux SMR transporter [Klebsiella pneumoniae],Mutated,2,105,Efflux Pumps
YP_005227263.1,putative multidrug resistance protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94879.1 efflux transporter periplasmic adaptor subunit [Klebsiella pneumoniae],Mutated,4,298,Efflux Pumps
YP_005228672.1,Ars family arsenical pump [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96332.1 arsenical efflux pump membrane protein ArsB [Klebsiella pneumoniae],Mutated,16,430,Efflux Pumps
YP_005229509.1,multidrug efflux permease EefB [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS91967.1 multidrug efflux RND transporter permease subunit [Klebsiella pneumoniae],Mutated,14,1035,Efflux Pumps
YP_005229127.1,inner membrane multidrug efflux protein BpeB [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96767.1 multidrug efflux RND transporter permease subunit [Klebsiella pneumoniae],Mutated,39,1036,Efflux Pumps
YP_005225059.1,putative cytoplasmic protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92792.1 Co2+/Mg2+ efflux protein ApaG [Klebsiella pneumoniae],Mutated,2,125,Efflux Pumps
YP_005225085.1,sugar efflux protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92816.1 sugar efflux transporter SetB [Klebsiella pneumoniae],Mutated,5,394,Efflux Pumps
YP_005228174.1,aminoglycoside/multidrug efflux system [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95787.1 multidrug efflux RND transporter permease subunit [Klebsiella pneumoniae],Mutated,14,1037,Efflux Pumps
