Protein_Id,Reference_Def,Hit Def,Status,Number of Mutations,Length,Category
YP_005227146.1,IclR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94775.1 IclR family transcriptional regulator [Klebsiella pneumoniae],Mutated,44,296,Regulators
YP_005227074.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94715.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,11,310,Regulators
YP_005229392.1,putative xyl operon regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97018.1 XylR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,392,Regulators
YP_005225933.1,sensor protein for basR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93600.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,37,342,Regulators
YP_005227590.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95172.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,5,297,Regulators
YP_005226012.1,putative DEOR-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93675.1 DNA-binding transcriptional regulator [Klebsiella pneumoniae],Mutated,3,187,Regulators
YP_005227060.1,HAMP domain-containing protein,GCA_002156725.1 ARS94702.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,26,447,Regulators
YP_005228673.1,arsenical resistance transcriptional repressor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96333.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,4,109,Regulators
YP_005226951.1,putative helix-turn-helix AraC-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94601.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,12,326,Regulators
YP_005229226.1,osmolarity sensor protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96863.1 two-component sensor histidine kinase [Klebsiella pneumoniae],Mutated,7,451,Regulators
YP_005227523.1,nitrate regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95109.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,12,393,Regulators
YP_005227513.1,transcriptional regulator NarL [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95103.1 DNA-binding response regulator [Klebsiella pneumoniae],Mutated,2,216,Regulators
YP_005225402.1,DeoR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93102.1 DNA-binding transcriptional regulator [Klebsiella pneumoniae],Mutated,15,231,Regulators
YP_005227235.1,putative transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94856.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,32,127,Regulators
YP_005227583.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95166.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,69,299,Regulators
YP_005226218.1,proline dehydrogenase/delta-1-pyrroline-5-carboxylate dehydrogenase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93870.1 trifunctional transcriptional regulator/proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase [Klebsiella pneumoniae],Mutated,400,986,Regulators
YP_005225027.1,transcriptional activator NhaR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92761.1 transcriptional activator NhaR [Klebsiella pneumoniae],Mutated,2,298,Regulators
YP_005227526.1,cation transport regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95112.1 cation transport regulator [Klebsiella pneumoniae],Mutated,1,226,Regulators
YP_005225753.1,Xre family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93434.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,7,134,Regulators
YP_005227988.1,putative DEOR-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95617.1 DeoR family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,253,Regulators
YP_005227317.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94927.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,4,299,Regulators
YP_005225279.1,DNA-binding transcriptional regulator CsiR [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92992.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,14,230,Regulators
YP_005226532.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94215.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,31,304,Regulators
YP_005225952.1,putative DNA-binding transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_048320495.1 XPJ91099.1 transcriptional regulator CecR [Klebsiella pneumoniae],Mutated,144,100,Regulators
YP_005225920.1,histidine utilization repressor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93586.1 histidine utilization repressor [Klebsiella pneumoniae],Mutated,2,241,Regulators
YP_005228108.1,putative sensor protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95728.1 sensor histidine kinase [Klebsiella pneumoniae],Mutated,10,559,Regulators
YP_005228452.1,LacI family DNA-binding transcriptional regulator,GCA_002156725.1 ARS96121.1 LacI family transcriptional regulator [Klebsiella pneumoniae],Mutated,25,300,Regulators
YP_005226962.1,phosphoglycerate transport activator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94610.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,13,416,Regulators
YP_005228616.1,putative transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96279.1 LacI family transcriptional regulator [Klebsiella pneumoniae],Mutated,5,333,Regulators
YP_005228857.1,AraC family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96508.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,5,299,Regulators
YP_005228442.1,formate hydrogen-lyase transcriptional activator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96111.1 transcriptional regulator FhlA [Klebsiella pneumoniae],Mutated,22,685,Regulators
YP_005224632.1,putative histidine protein kinase [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92391.1 hybrid sensor histidine kinase/response regulator [Klebsiella pneumoniae],Mutated,21,761,Regulators
YP_005226201.1,transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93855.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,6,149,Regulators
YP_005225599.1,two-component regulatory system response regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93296.1 LuxR family transcriptional regulator [Klebsiella pneumoniae],Mutated,4,220,Regulators
YP_005228785.1,transcriptional regulator Nlp [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96443.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,4,83,Regulators
YP_005225791.1,nucleoside diphosphate kinase regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93469.1 nucleoside diphosphate kinase regulator [Klebsiella pneumoniae],Mutated,2,136,Regulators
YP_005226776.1,hypothetical protein KPHS_24760 [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94447.1 ArsR family transcriptional regulator [Klebsiella pneumoniae],Mutated,21,38,Regulators
YP_005227914.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97281.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,21,304,Regulators
YP_005226633.1,putative TetR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94310.1 TetR family transcriptional regulator [Klebsiella pneumoniae],Mutated,5,182,Regulators
YP_005228474.1,putative transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96143.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,27,140,Regulators
YP_005225701.1,GntR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS93385.1 GntR family transcriptional regulator [Klebsiella pneumoniae],Mutated,10,487,Regulators
YP_005226489.1,putative DEOR-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94106.1 DeoR family transcriptional regulator [Klebsiella pneumoniae],Mutated,3,249,Regulators
YP_005226808.1,putative 2-component transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS97226.1 helix-turn-helix transcriptional regulator [Klebsiella pneumoniae],Mutated,25,211,Regulators
YP_005229083.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96723.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,10,303,Regulators
YP_005227058.1,LysR family NADH dehydrogenase transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94700.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,28,297,Regulators
YP_005227039.1,putative AraC-type regulatory protein [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94682.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,9,255,Regulators
YP_005229304.1,putative LysR-family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS96938.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,8,286,Regulators
YP_005225761.1,IS3 family transposase,GCA_002202195.1 ASC22408.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,351,173,Regulators
YP_005224749.1,putative helix-turn-helix AraC-type transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92500.1 AraC family transcriptional regulator [Klebsiella pneumoniae],Mutated,10,274,Regulators
YP_005224354.1,galETK operon repressor [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS92121.1 transcriptional regulator [Klebsiella pneumoniae],Mutated,7,331,Regulators
YP_005226985.1,LysR family transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS94629.1 LysR family transcriptional regulator [Klebsiella pneumoniae],Mutated,7,300,Regulators
YP_005228245.1,putative NAGC-like transcriptional regulator [Klebsiella pneumoniae subsp. pneumoniae HS11286],GCA_002156725.1 ARS95906.1 ROK family transcriptional regulator [Klebsiella pneumoniae],Mutated,7,398,Regulators
